"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\Learn\20232_DATN\Code\Frontend\src\sections\order\detail-table.jsx", "JavaScript JSX", 0, 18, 0, 0, 1, 19
"d:\Learn\20232_DATN\Code\Frontend\src\sections\order\table.jsx", "JavaScript JSX", 0, 138, 0, 1, 11, 150
"d:\Learn\20232_DATN\Code\Frontend\src\sections\order\view\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Learn\20232_DATN\Code\Frontend\src\sections\order\view\order-view.jsx", "JavaScript JSX", 0, 53, 0, 1, 6, 60
"d:\Learn\20232_DATN\Code\Frontend\src\sections\product-detail\view\index.js", "JavaScript", 1, 0, 0, 0, 1, 2
"d:\Learn\20232_DATN\Code\Frontend\src\sections\product-detail\view\product.jsx", "JavaScript JSX", 0, 231, 0, 1, 19, 251
"d:\Learn\20232_DATN\Code\Frontend\src\sections\product-manage\detail-table.jsx", "JavaScript JSX", 0, 102, 0, 1, 11, 114
"d:\Learn\20232_DATN\Code\Frontend\src\sections\product-manage\table.jsx", "JavaScript JSX", 0, 188, 0, 1, 11, 200
"d:\Learn\20232_DATN\Code\Frontend\src\sections\product-manage\utils.js", "JavaScript", 49, 0, 0, 0, 8, 57
"d:\Learn\20232_DATN\Code\Frontend\src\sections\product-manage\view\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Learn\20232_DATN\Code\Frontend\src\sections\product-manage\view\manager-view.jsx", "JavaScript JSX", 0, 191, 0, 1, 13, 205
"d:\Learn\20232_DATN\Code\Frontend\src\sections\products\product-card.jsx", "JavaScript JSX", 0, 90, 0, 5, 16, 111
"d:\Learn\20232_DATN\Code\Frontend\src\sections\products\product-cart-widget.jsx", "JavaScript JSX", 0, 35, 0, 2, 6, 43
"d:\Learn\20232_DATN\Code\Frontend\src\sections\products\product-filters.jsx", "JavaScript JSX", 0, 181, 0, 2, 21, 204
"d:\Learn\20232_DATN\Code\Frontend\src\sections\products\product-sort.jsx", "JavaScript JSX", 0, 59, 0, 1, 10, 70
"d:\Learn\20232_DATN\Code\Frontend\src\sections\products\view\index.js", "JavaScript", 1, 0, 0, 0, 1, 2
"d:\Learn\20232_DATN\Code\Frontend\src\sections\products\view\products-view.jsx", "JavaScript JSX", 0, 75, 0, 1, 14, 90
"d:\Learn\20232_DATN\Code\Frontend\src\sections\signup\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Learn\20232_DATN\Code\Frontend\src\sections\signup\signup-view.jsx", "JavaScript JSX", 0, 185, 0, 1, 26, 212
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user-detail\account-profile-detail.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 1
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user-detail\account-profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 1
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user-detail\view\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user-detail\view\user-view.jsx", "JavaScript JSX", 0, 182, 0, 2, 12, 196
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user\table-empty-rows.jsx", "JavaScript JSX", 0, 23, 0, 1, 6, 30
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user\table-no-data.jsx", "JavaScript JSX", 0, 30, 0, 1, 6, 37
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user\user-table-head.jsx", "JavaScript JSX", 0, 65, 0, 1, 8, 74
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user\user-table-row.jsx", "JavaScript JSX", 0, 113, 0, 1, 18, 132
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user\user-table-toolbar.jsx", "JavaScript JSX", 0, 62, 0, 1, 7, 70
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user\utils.js", "JavaScript", 49, 0, 0, 0, 8, 57
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user\view\index.js", "JavaScript", 1, 0, 0, 0, 1, 2
"d:\Learn\20232_DATN\Code\Frontend\src\sections\user\view\user-view.jsx", "JavaScript JSX", 0, 182, 0, 1, 30, 213
"d:\Learn\20232_DATN\Code\Frontend\src\theme\css.js", "JavaScript", 130, 0, 0, 6, 17, 153
"d:\Learn\20232_DATN\Code\Frontend\src\theme\custom-shadows.js", "JavaScript", 23, 0, 0, 3, 5, 31
"d:\Learn\20232_DATN\Code\Frontend\src\theme\index.jsx", "JavaScript JSX", 0, 32, 0, 2, 9, 43
"d:\Learn\20232_DATN\Code\Frontend\src\theme\overrides.js", "JavaScript", 143, 0, 0, 1, 3, 147
"d:\Learn\20232_DATN\Code\Frontend\src\theme\palette.js", "JavaScript", 106, 0, 0, 3, 15, 124
"d:\Learn\20232_DATN\Code\Frontend\src\theme\shadows.js", "JavaScript", 34, 0, 0, 1, 5, 40
"d:\Learn\20232_DATN\Code\Frontend\src\theme\typography.js", "JavaScript", 99, 0, 0, 2, 7, 108
"d:\Learn\20232_DATN\Code\Frontend\src\utils\format-number.js", "JavaScript", 24, 0, 0, 1, 13, 38
"d:\Learn\20232_DATN\Code\Frontend\src\utils\format-time.js", "JavaScript", 19, 0, 0, 1, 8, 28
"d:\Learn\20232_DATN\Code\Frontend\src\utils\jwt.js", "JavaScript", 7, 0, 0, 0, 3, 10
"Total", "-", 1714, 4311, 72, 156, 899, 7152
